Driver,Team,AvgNormalizedPace,TotalLaps,PaceRank,TeamAvgNormalizedPace,DeltaToTeamAvg,ConsistencyStdSec,ConsistencyRank,PaceConsistencyQuadrant,QualiAvgNormalizedPace,RaceAvgNormalizedPace,RaceMinusQualiDelta,SundayOverperformer,AvgDegradationSlopeSecPerLap,MedianDegradationSlopeSecPerLap,StintsUsedForDegradation,TireManagementRank,AvgNormPaceHard,AvgNormPaceMedium,AvgNormPaceSoft,HardLaps,MediumLaps,SoftLaps,BestDryCompound,AvgNormPaceHighSpeed,AvgNormPaceMixed,AvgNormPaceStreet,AvgNormPaceTechnical,ConsistencyStdHighSpeed,ConsistencyStdMixed,ConsistencyStdStreet,ConsistencyStdTechnical,LapsHighSpeed,LapsMixed,LapsStreet,LapsTechnical,SpecialistTrackType,DeltaToTeamHighSpeed,DeltaToTeamMixed,DeltaToTeamStreet,DeltaToTeamTechnical,AvgAbsTrackTypeTeamDelta,ClusterId,ClusterLabel,TeamMateDelta
VER,Red Bull Racing,1.027965,1351,1,1.030923,-0.002958,10.301724,13,Fast-Inconsistent,1.011152,1.030033,0.018881,False,0.002595,0.009935,57,11,1.024371,1.037031,1.017478,612,465,214,SOFT,1.024267,1.028318,1.028506,1.028665,10.527673,9.009177,10.23354,7.971501,151,680,289,231,High-Speed,-0.001857,-0.003291,-0.003194,-0.001554,0.002474,0,Elite All-Rounders,-0.002958
NOR,McLaren,1.028637,1388,2,1.030138,-0.001501,10.233087,11,Fast-Inconsistent,1.01294,1.030314,0.017374,False,0.005461,0.003073,57,13,1.026657,1.034267,1.019402,661,470,191,SOFT,1.025277,1.028708,1.030175,1.028668,10.809143,8.821794,10.410909,8.293995,148,724,285,231,High-Speed,0.000494,-0.002188,-0.001362,-0.000907,0.001238,0,Elite All-Rounders,-0.001501
LEC,Ferrari,1.030694,1398,3,1.031287,-0.000593,10.289277,12,Fast-Inconsistent,1.014799,1.032705,0.017906,False,0.005848,0.006477,55,15,1.026539,1.04046,1.020947,681,456,202,SOFT,1.025435,1.030244,1.033294,1.032266,10.788754,8.794228,10.59297,8.431331,156,711,298,233,High-Speed,-0.002165,-0.00015,-0.000949,0.000462,0.000931,0,Elite All-Rounders,-0.000593
PIA,McLaren,1.031639,1402,4,1.030138,0.001501,10.330683,14,Fast-Inconsistent,1.01495,1.033564,0.018614,False,0.005641,0.000939,59,14,1.029361,1.037824,1.020915,681,481,175,SOFT,1.024311,1.033121,1.032836,1.030462,10.881018,8.96796,10.333329,8.215309,155,712,299,236,High-Speed,-0.000472,0.002225,0.001299,0.000887,0.001221,0,Elite All-Rounders,0.001501
SAI,Ferrari,1.03188,1308,5,1.031287,0.000593,10.570598,18,Fast-Inconsistent,1.01453,1.03396,0.019429,False,-4.9e-05,0.002253,52,9,1.029133,1.039875,1.020187,707,424,152,SOFT,1.032406,1.03055,1.035207,1.031344,13.073627,9.018576,10.340114,8.151638,102,679,293,234,Mixed,0.004806,0.000157,0.000965,-0.00046,0.001597,0,Elite All-Rounders,0.000593
RUS,Mercedes,1.032409,1379,6,1.032974,-0.000565,10.419856,15,Fast-Inconsistent,1.01487,1.034518,0.019648,False,-0.0044,-0.000363,60,6,1.03122,1.039139,1.018026,699,445,170,SOFT,1.027957,1.033574,1.032314,1.031751,10.756159,8.964593,10.215056,8.461659,153,727,289,210,High-Speed,0.000885,-0.001266,-0.000763,0.000614,0.000882,0,Elite All-Rounders,-0.000565
HAM,Mercedes,1.033539,1287,7,1.032974,0.000565,10.486426,17,Fast-Inconsistent,1.015451,1.035729,0.020277,False,-0.027646,0.005427,59,2,1.033955,1.038998,1.024687,609,341,284,SOFT,1.026188,1.036332,1.033853,1.030585,10.781283,8.706639,10.519368,8.162629,153,617,284,233,High-Speed,-0.000885,0.001492,0.000776,-0.000553,0.000926,0,Elite All-Rounders,0.000565
BEA,Haas F1 Team,1.033551,138,8,1.038929,-0.005378,9.772858,7,Fast-Inconsistent,1.020941,1.034536,0.013595,False,-0.090812,-0.069234,6,1,1.025458,1.046047,1.030061,72,6,15,HARD,1.024548,1.045997,1.030994,,1.884192,1.001329,1.856422,,50,45,43,,High-Speed,-0.003051,0.003604,-0.006625,,0.004427,0,Elite All-Rounders,-0.005378
PER,Red Bull Racing,1.033881,1199,9,1.030923,0.002958,10.450639,16,Fast-Inconsistent,1.016852,1.03567,0.018818,False,0.005423,0.014063,56,12,1.032208,1.038069,1.025364,515,448,184,SOFT,1.028031,1.035247,1.035748,1.031936,10.332704,9.191521,5.945663,8.346842,147,615,228,209,High-Speed,0.001908,0.003638,0.004049,0.001717,0.002828,0,Elite All-Rounders,0.002958
ALO,Aston Martin,1.038251,1225,10,1.04,-0.001748,10.223784,10,Fast-Inconsistent,1.01769,1.040402,0.022712,False,-0.002233,-0.006857,56,8,1.035895,1.04472,1.027237,570,443,157,SOFT,1.031985,1.039277,1.039061,1.038401,10.379239,9.107695,8.405259,8.096588,138,615,248,224,High-Speed,-0.003632,-0.001175,-0.002105,-0.000974,0.001972,3,Strong Race Managers,-0.001748
HUL,Haas F1 Team,1.040091,1223,11,1.038929,0.001162,10.210411,9,Slow-Inconsistent,1.019651,1.042336,0.022685,False,0.023787,0.019771,52,19,1.040974,1.045302,1.023581,723,323,156,SOFT,1.037416,1.041592,1.036064,1.041487,9.844477,9.201068,6.770214,8.372614,127,650,232,214,Street,-0.000532,-0.000801,-0.001555,-0.003038,0.001481,3,Strong Race Managers,0.001162
COL,Williams,1.041083,416,12,1.04297,-0.001887,8.457261,3,Slow-Consistent,1.021972,1.042515,0.020543,False,-0.026639,-0.011808,17,3,1.041818,1.041452,1.021972,252,117,29,SOFT,1.046157,1.044699,1.037404,,1.040496,8.012853,4.655365,,49,151,216,,Street,0.005929,-0.000947,2.3e-05,,0.0023,3,Strong Race Managers,-0.001887
