Season,RaceName,Circuit,Session,Driver,Team,LapNumber,LapInStint,Compound,Stint,LapTimeSec,NormalizedPace,Sector1Sec,Sector2Sec,Sector3Sec,Position,TrackStatus,TrackType
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,2.0,1,MEDIUM,1.0,98.48,1.0422708126071587,29.268,41.412,27.8,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,3.0,2,MEDIUM,1.0,98.406,1.0414876277967107,29.354,41.262,27.79,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,4.0,3,MEDIUM,1.0,98.446,1.0419109709374934,29.399,41.305,27.742,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,5.0,4,MEDIUM,1.0,97.938,1.0365345130495522,29.034,41.159,27.745,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,6.0,5,MEDIUM,1.0,97.843,1.0355290730901932,29.15,41.224,27.469,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,7.0,6,MEDIUM,1.0,97.621,1.0331795186588488,29.048,41.128,27.445,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,8.0,7,MEDIUM,1.0,97.082,1.027474969836801,28.919,40.798,27.365,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,9.0,8,MEDIUM,1.0,96.715,1.0235907965201194,28.781,40.658,27.276,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,10.0,9,MEDIUM,1.0,96.83,1.0248079080498698,28.727,40.859,27.244,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,11.0,10,MEDIUM,1.0,96.651,1.022913447494867,28.697,40.842,27.112,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,12.0,11,MEDIUM,1.0,96.495,1.0212624092458142,28.62,40.879,26.996,1.0,1,Street
