Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,Position,TrackStatus,IsAccurate,Season,RaceName,Circuit,Location,Country,Session
NOR,McLaren,2.0,0 days 00:01:30.724000,0 days 00:00:26.863000,0 days 00:00:38.252000,0 days 00:00:25.609000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
NOR,McLaren,5.0,0 days 00:01:30.002000,0 days 00:00:26.735000,0 days 00:00:37.824000,0 days 00:00:25.443000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
NOR,McLaren,8.0,0 days 00:01:30.007000,0 days 00:00:26.586000,0 days 00:00:37.678000,0 days 00:00:25.743000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
NOR,McLaren,15.0,0 days 00:01:29.525000,0 days 00:00:26.599000,0 days 00:00:37.630000,0 days 00:00:25.296000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,2.0,0 days 00:01:30.854000,0 days 00:00:26.800000,0 days 00:00:38.253000,0 days 00:00:25.801000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,5.0,0 days 00:01:30.157000,0 days 00:00:26.763000,0 days 00:00:37.949000,0 days 00:00:25.445000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,8.0,0 days 00:01:30.371000,0 days 00:00:26.728000,0 days 00:00:37.912000,0 days 00:00:25.731000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,11.0,0 days 00:01:29.680000,0 days 00:00:26.615000,0 days 00:00:37.663000,0 days 00:00:25.402000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,14.0,0 days 00:01:29.791000,0 days 00:00:26.560000,0 days 00:00:37.676000,0 days 00:00:25.555000,SOFT,5.0,,12,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,17.0,0 days 00:01:29.728000,0 days 00:00:26.641000,0 days 00:00:37.726000,0 days 00:00:25.361000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HAM,Mercedes,2.0,0 days 00:01:31.355000,0 days 00:00:26.870000,0 days 00:00:38.376000,0 days 00:00:26.109000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HAM,Mercedes,5.0,0 days 00:01:30.393000,0 days 00:00:26.883000,0 days 00:00:37.977000,0 days 00:00:25.533000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HAM,Mercedes,8.0,0 days 00:01:29.929000,0 days 00:00:26.742000,0 days 00:00:37.797000,0 days 00:00:25.390000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HAM,Mercedes,15.0,0 days 00:01:29.841000,0 days 00:00:26.626000,0 days 00:00:37.987000,0 days 00:00:25.228000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RUS,Mercedes,2.0,0 days 00:01:31.415000,0 days 00:00:27.023000,0 days 00:00:38.627000,0 days 00:00:25.765000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RUS,Mercedes,5.0,0 days 00:01:30.811000,0 days 00:00:27.002000,0 days 00:00:38.212000,0 days 00:00:25.597000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RUS,Mercedes,8.0,0 days 00:01:30.153000,0 days 00:00:26.827000,0 days 00:00:37.956000,0 days 00:00:25.370000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RUS,Mercedes,11.0,0 days 00:01:30.711000,0 days 00:00:26.788000,0 days 00:00:38.189000,0 days 00:00:25.734000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RUS,Mercedes,16.0,0 days 00:01:29.867000,0 days 00:00:26.727000,0 days 00:00:37.913000,0 days 00:00:25.227000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,2.0,0 days 00:01:30.968000,0 days 00:00:26.917000,0 days 00:00:38.340000,0 days 00:00:25.711000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,5.0,0 days 00:01:30.258000,0 days 00:00:26.756000,0 days 00:00:37.919000,0 days 00:00:25.583000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,8.0,0 days 00:01:30.327000,0 days 00:00:26.694000,0 days 00:00:38.093000,0 days 00:00:25.540000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,11.0,0 days 00:01:29.640000,0 days 00:00:26.603000,0 days 00:00:37.753000,0 days 00:00:25.284000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,14.0,0 days 00:01:30.037000,0 days 00:00:26.675000,0 days 00:00:37.981000,0 days 00:00:25.381000,SOFT,5.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,17.0,0 days 00:01:29.953000,0 days 00:00:26.641000,0 days 00:00:37.652000,0 days 00:00:25.660000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,2.0,0 days 00:01:30.985000,0 days 00:00:27.032000,0 days 00:00:38.315000,0 days 00:00:25.638000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,5.0,0 days 00:01:30.724000,0 days 00:00:27.045000,0 days 00:00:38.184000,0 days 00:00:25.495000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,8.0,0 days 00:01:30.374000,0 days 00:00:26.728000,0 days 00:00:38.132000,0 days 00:00:25.514000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,11.0,0 days 00:01:30.150000,0 days 00:00:26.802000,0 days 00:00:38.048000,0 days 00:00:25.300000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,14.0,0 days 00:01:30.848000,0 days 00:00:26.997000,0 days 00:00:38.253000,0 days 00:00:25.598000,SOFT,5.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,17.0,0 days 00:01:30.115000,0 days 00:00:26.742000,0 days 00:00:37.939000,0 days 00:00:25.434000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALO,Aston Martin,2.0,0 days 00:01:31.035000,0 days 00:00:26.949000,0 days 00:00:38.403000,0 days 00:00:25.683000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALO,Aston Martin,5.0,0 days 00:01:30.684000,0 days 00:00:26.847000,0 days 00:00:38.210000,0 days 00:00:25.627000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALO,Aston Martin,8.0,0 days 00:01:30.960000,0 days 00:00:26.829000,0 days 00:00:38.373000,0 days 00:00:25.758000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALO,Aston Martin,11.0,0 days 00:01:30.450000,0 days 00:00:26.704000,0 days 00:00:38.200000,0 days 00:00:25.546000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
